計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2025/02/27,タクシー,-2400,楽天カード,交通費,タクシー,終電逃し,0,MF0051
1,2025/03/25,給与,355000,三菱UFJ銀行,収入,給与,昇給,0,MF0052
1,2025/03/05,家賃,-85000,三菱UFJ銀行,住宅,家賃,,0,MF0053
1,2025/03/06,電気代,-7200,三菱UFJ銀行,水道・光熱費,電気代,,0,MF0054
1,2025/03/06,ガス代,-3800,三菱UFJ銀行,水道・光熱費,ガス代,,0,MF0055
1,2025/03/06,水道代,-3100,三菱UFJ銀行,水道・光熱費,水道代,,0,MF0056
1,2025/03/07,スーパー 食材,-6300,楽天カード,食費,食料品,,0,MF0057
1,2025/03/08,ランチ,-900,現金,食費,外食,,0,MF0058
1,2025/03/09,スマホ代,-3200,三菱UFJ銀行,通信費,携帯電話,,0,MF0059
1,2025/03/09,Wi-Fi,-4400,三菱UFJ銀行,通信費,インターネット,,0,MF0060
1,2025/03/10,Netflix,-1490,楽天カード,娯楽,動画配信,,0,MF0061
1,2025/03/11,定期券 JR,-12500,Suica,交通費,電車,,0,MF0062
1,2025/03/12,スーパー 食材,-5900,楽天カード,食費,食料品,,0,MF0063
1,2025/03/13,カフェ,-620,現金,食費,カフェ,,0,MF0064
1,2025/03/14,居酒屋 送別会,-6500,楽天カード,交際費,飲み会,送別会,0,MF0065
1,2025/03/15,引越し祝い,-5000,現金,交際費,プレゼント,,0,MF0066
1,2025/03/16,ドラッグストア,-2100,楽天カード,日用品,日用品,,0,MF0067
1,2025/03/17,スーパー 食材,-7100,楽天カード,食費,食料品,,0,MF0068
1,2025/03/18,美容院,-4500,現金,衣服・美容,美容院,,0,MF0069
1,2025/03/19,春物 ジャケット,-9800,楽天カード,衣服・美容,衣服,,0,MF0070
1,2025/03/20,映画館,-1800,楽天カード,娯楽,映画,,0,MF0071
1,2025/03/21,保険料,-8000,三菱UFJ銀行,保険,生命保険,,0,MF0072
1,2025/03/22,ゲーム課金,-2000,楽天カード,趣味,ゲーム,,0,MF0073
1,2025/03/28,花見 食材,-3500,楽天カード,食費,食料品,花見用,0,MF0074
1,0,三菱UFJ→楽天証券,50000,三菱UFJ銀行,振替,振替,,1,MF0075
